ConFemMat: ../DataExamples/E04/E4-01
Found specified element set: prop1
Found specified material: mat1 of type: RCBEAM
160, 2, eps 0.003945, kap 0.032000, N   0.000000, M 0.220401, zt 0.123291, zc 0.200000
161, 2, eps 0.003975, kap 0.032200, N   0.000000, M 0.220444, zt 0.123449, zc 0.200000
162, 2, eps 0.004005, kap 0.032400, N   0.000000, M 0.220486, zt 0.123605, zc 0.200000
163, 2, eps 0.004035, kap 0.032600, N   0.000000, M 0.220527, zt 0.123759, zc 0.200000
164, 2, eps 0.004064, kap 0.032800, N   0.000000, M 0.220568, zt 0.123911, zc 0.200000
165, 2, eps 0.004094, kap 0.033000, N   0.000000, M 0.220609, zt 0.124060, zc 0.200000
166, 2, eps 0.004124, kap 0.033200, N   0.000000, M 0.220649, zt 0.124208, zc 0.200000
167, 2, eps 0.004153, kap 0.033400, N   0.000000, M 0.220689, zt 0.124354, zc 0.200000
168, 2, eps 0.004183, kap 0.033600, N   0.000000, M 0.220728, zt 0.124498, zc 0.200000
169, 2, eps 0.004213, kap 0.033800, N   0.000000, M 0.220767, zt 0.124639, zc 0.200000
170, 2, eps 0.004242, kap 0.034000, N   0.000000, M 0.220805, zt 0.124779, zc 0.200000
171, 2, eps 0.004272, kap 0.034200, N   0.000000, M 0.220843, zt 0.124917, zc 0.200000
172, 2, eps 0.004302, kap 0.034400, N   0.000000, M 0.220880, zt 0.125053, zc 0.200000
173, 2, eps 0.004331, kap 0.034600, N   0.000000, M 0.220917, zt 0.125188, zc 0.200000
174, 2, eps 0.004361, kap 0.034800, N   0.000000, M 0.220953, zt 0.125320, zc 0.200000
175, 2, eps 0.004391, kap 0.035000, N   0.000000, M 0.220989, zt 0.125451, zc 0.200000
176, 2, eps 0.004420, kap 0.035200, N   0.000000, M 0.221025, zt 0.125579, zc 0.200000
177, 2, eps 0.004450, kap 0.035400, N   0.000000, M 0.221060, zt 0.125707, zc 0.200000
178, 2, eps 0.004480, kap 0.035600, N   0.000000, M 0.221094, zt 0.125832, zc 0.200000
179, 2, eps 0.004509, kap 0.035800, N   0.000000, M 0.221128, zt 0.125955, zc 0.200000
180, 2, eps 0.004539, kap 0.036000, N   0.000000, M 0.221162, zt 0.126077, zc 0.200000
181, 2, eps 0.004568, kap 0.036200, N   0.000000, M 0.221195, zt 0.126197, zc 0.200000
182, 2, eps 0.004598, kap 0.036400, N   0.000000, M 0.221228, zt 0.126316, zc 0.200000
183, 2, eps 0.004627, kap 0.036600, N   0.000000, M 0.221260, zt 0.126433, zc 0.200000
184, 2, eps 0.004657, kap 0.036800, N   0.000000, M 0.221292, zt 0.126548, zc 0.200000
185, 2, eps 0.004686, kap 0.037000, N   0.000000, M 0.221323, zt 0.126662, zc 0.200000
186, 2, eps 0.004716, kap 0.037200, N   0.000000, M 0.221353, zt 0.126774, zc 0.200000
187, 2, eps 0.004745, kap 0.037400, N   0.000000, M 0.221384, zt 0.126884, zc 0.200000
188, 2, eps 0.004775, kap 0.037600, N   0.000000, M 0.221413, zt 0.126993, zc 0.200000
189, 2, eps 0.004804, kap 0.037800, N   0.000000, M 0.221442, zt 0.127100, zc 0.200000
190, 2, eps 0.004834, kap 0.038000, N   0.000000, M 0.221471, zt 0.127206, zc 0.200000
191, 2, eps 0.004863, kap 0.038200, N   0.000000, M 0.221499, zt 0.127310, zc 0.200000
192, 2, eps 0.004893, kap 0.038400, N   0.000000, M 0.221527, zt 0.127413, zc 0.200000
193, 2, eps 0.004922, kap 0.038600, N   0.000000, M 0.221554, zt 0.127514, zc 0.200000
194, 2, eps 0.004951, kap 0.038800, N   0.000000, M 0.221581, zt 0.127614, zc 0.200000
195, 2, eps 0.004981, kap 0.039000, N   0.000000, M 0.221607, zt 0.127712, zc 0.200000
196, 2, eps 0.005010, kap 0.039200, N   0.000000, M 0.221633, zt 0.127808, zc 0.200000
197, 2, eps 0.005039, kap 0.039400, N   0.000000, M 0.221658, zt 0.127904, zc 0.200000
198, 2, eps 0.005069, kap 0.039600, N   0.000000, M 0.221682, zt 0.127997, zc 0.200000
199, 2, eps 0.005098, kap 0.039800, N   0.000000, M 0.221706, zt 0.128090, zc 0.200000
200, 2, eps 0.005127, kap 0.040000, N   0.000000, M 0.221730, zt 0.128181, zc 0.200000
201, 2, eps 0.005156, kap 0.040200, N   0.000000, M 0.221753, zt 0.128270, zc 0.200000
202, 2, eps 0.005186, kap 0.040400, N   0.000000, M 0.221775, zt 0.128358, zc 0.200000
203, 2, eps 0.005215, kap 0.040600, N   0.000000, M 0.221797, zt 0.128445, zc 0.200000
204, 2, eps 0.005244, kap 0.040800, N   0.000000, M 0.221818, zt 0.128530, zc 0.200000
205, 2, eps 0.005273, kap 0.041000, N   0.000000, M 0.221839, zt 0.128614, zc 0.200000
206, 2, eps 0.005302, kap 0.041200, N   0.000000, M 0.221859, zt 0.128697, zc 0.200000
207, 2, eps 0.005331, kap 0.041400, N   0.000000, M 0.221879, zt 0.128778, zc 0.200000
208, 2, eps 0.005360, kap 0.041600, N   0.000000, M 0.221898, zt 0.128858, zc 0.200000
209, 2, eps 0.005390, kap 0.041800, N   0.000000, M 0.221916, zt 0.128936, zc 0.200000
210, 2, eps 0.005419, kap 0.042000, N   0.000000, M 0.221934, zt 0.129013, zc 0.200000
211, 2, eps 0.005448, kap 0.042200, N   0.000000, M 0.221951, zt 0.129089, zc 0.200000
212, 2, eps 0.005477, kap 0.042400, N   0.000000, M 0.221967, zt 0.129163, zc 0.200000
213, 2, eps 0.005505, kap 0.042600, N   0.000000, M 0.221983, zt 0.129236, zc 0.200000
214, 2, eps 0.005534, kap 0.042800, N   0.000000, M 0.221999, zt 0.129308, zc 0.200000
215, 2, eps 0.005563, kap 0.043000, N   0.000000, M 0.222013, zt 0.129378, zc 0.200000
216, 2, eps 0.005592, kap 0.043200, N   0.000000, M 0.222027, zt 0.129447, zc 0.200000
217, 2, eps 0.005621, kap 0.043400, N   0.000000, M 0.222041, zt 0.129515, zc 0.200000
218, 2, eps 0.005650, kap 0.043600, N   0.000000, M 0.222053, zt 0.129581, zc 0.200000
219, 2, eps 0.005679, kap 0.043800, N   0.000000, M 0.222065, zt 0.129646, zc 0.200000
220, 2, eps 0.005707, kap 0.044000, N   0.000000, M 0.222076, zt 0.129710, zc 0.200000
221, 2, eps 0.005736, kap 0.044200, N   0.000000, M 0.222087, zt 0.129772, zc 0.200000
222, 2, eps 0.005765, kap 0.044400, N   0.000000, M 0.222097, zt 0.129834, zc 0.200000
223, 2, eps 0.005793, kap 0.044600, N   0.000000, M 0.222106, zt 0.129893, zc 0.200000
224, 2, eps 0.005822, kap 0.044800, N   0.000000, M 0.222114, zt 0.129952, zc 0.200000
225, 2, eps 0.005850, kap 0.045000, N   0.000000, M 0.222122, zt 0.130009, zc 0.200000
226, 2, eps 0.005879, kap 0.045200, N   0.000000, M 0.222129, zt 0.130065, zc 0.200000
227, 2, eps 0.005907, kap 0.045400, N   0.000000, M 0.222135, zt 0.130119, zc 0.200000
228, 2, eps 0.005936, kap 0.045600, N   0.000000, M 0.222140, zt 0.130172, zc 0.200000
229, 2, eps 0.005964, kap 0.045800, N   0.000000, M 0.222145, zt 0.130224, zc 0.200000
230, 2, eps 0.005993, kap 0.046000, N   0.000000, M 0.222149, zt 0.130274, zc 0.200000
231, 2, eps 0.006021, kap 0.046200, N   0.000000, M 0.222151, zt 0.130324, zc 0.200000
232, 2, eps 0.006049, kap 0.046400, N   0.000000, M 0.222153, zt 0.130371, zc 0.200000
233, 2, eps 0.006077, kap 0.046600, N   0.000000, M 0.222155, zt 0.130418, zc 0.200000
234, 2, eps 0.006106, kap 0.046800, N   0.000000, M 0.222155, zt 0.130463, zc 0.200000
235, 2, eps 0.006134, kap 0.047000, N   0.000000, M 0.222154, zt 0.130506, zc 0.200000
236, 2, eps 0.006162, kap 0.047200, N   0.000000, M 0.222153, zt 0.130549, zc 0.200000
237, 2, eps 0.006190, kap 0.047400, N   0.000000, M 0.222150, zt 0.130590, zc 0.200000
238, 2, eps 0.006218, kap 0.047600, N   0.000000, M 0.222147, zt 0.130629, zc 0.200000
239, 2, eps 0.006246, kap 0.047800, N   0.000000, M 0.222142, zt 0.130667, zc 0.200000
240, 2, eps 0.006274, kap 0.048000, N   0.000000, M 0.222137, zt 0.130704, zc 0.200000
241, 2, eps 0.006302, kap 0.048200, N   0.000000, M 0.222130, zt 0.130739, zc 0.200000
242, 2, eps 0.006329, kap 0.048400, N   0.000000, M 0.222122, zt 0.130773, zc 0.200000
243, 2, eps 0.006357, kap 0.048600, N   0.000000, M 0.222114, zt 0.130805, zc 0.200000
